Frequency (MHz),Full_Info
0.02,0000-2400       IND VTX1 Indian Navy             SAs         v
0.02,0000-2400       NOR JXN Noviken Sub comms        NAO         no
0.02,0000-2400       IND VTX2 Indian Navy             SAs         v
0.02,0000-2400       RUS RDL Russian Navy         -CW RUS         xx
0.02,0000-2400       IND VTX3 Indian Navy             SAs         v
0.02,0000-2400       IND VTX4 Indian Navy             SAs         v
0.02,0000-2400       G   GBZ Anthorn                  NAO         an
0.02,0741-0747       BLR RJH69 Molodechno         -TS EEu         mo
0.02,0441-0447       KGZ RJH66 Bishkek            -TS CAs         bk
0.02,1041-1047       KGZ RJH66 Bishkek            -TS CAs         bk
0.02,1131-1141       RUS RJH63 Krasnodar          -TS EEu         kd
0.02,0941-0947       RUS RJH77 Arkhangelsk        -TS EEu         ak
0.02,0841-0847       RUS RJH99 Nizhni Novgorod    -TS EEu         nn
0.02,0735-0741       BLR RJH69 Molodechno         -TS EEu         mo
0.02,0435-0441       KGZ RJH66 Bishkek            -TS CAs         bk
0.02,1035-1041       KGZ RJH66 Bishkek            -TS CAs         bk
0.02,1126-1131       RUS RJH63 Krasnodar          -TS EEu         kd
0.02,0935-0941       RUS RJH77 Arkhangelsk        -TS EEu         ak
0.02,0835-0841       RUS RJH99 Nizhni Novgorod    -TS EEu         nn
0.03,0700-0725       BLR RJH69 Molodechno         -TS EEu         mo
0.03,0400-0425       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1000-1025       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1100-1120       RUS RJH63 Krasnodar          -TS EEu         kd
0.03,0900-0925       RUS RJH77 Arkhangelsk        -TS EEu         ak
0.03,0800-0825       RUS RJH99 Nizhni Novgorod    -TS EEu         nn
0.03,0725-0730       BLR RJH69 Molodechno         -TS EEu         mo
0.03,0425-0430       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1025-1030       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1120-1123       RUS RJH63 Krasnodar          -TS EEu         kd
0.03,0925-0930       RUS RJH77 Arkhangelsk        -TS EEu         ak
0.03,0825-0830       RUS RJH99 Nizhni Novgorod    -TS EEu         nn
0.03,0730-0735       BLR RJH69 Molodechno         -TS EEu         mo
0.03,0430-0435       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1030-1035       KGZ RJH66 Bishkek            -TS CAs         bk
0.03,1123-1126       RUS RJH63 Krasnodar          -TS EEu         kd
0.03,0930-0935       RUS RJH77 Arkhangelsk        -TS EEu         ak
0.03,0830-0835       RUS RJH99 Nizhni Novgorod    -TS EEu         nn
0.03,0000-2400       RUS RDL Russian Navy         -CW EEu         /BLR-mo
0.04,0000-2400       ISL TFK US Navy Grindavik        NEu         g
0.04,"0000-2400       J   JJY (ID x15,x45)         -TS FE          o"
0.06,0000-2400       G   MSF Time from NPL        -TS Eu          an
0.06,"0000-2400       J   JJY (ID x15,x45)         -TS FE          h"
0.06,0000-2400       USA WWVB Colorado            -TS USA         ff
0.07,0000-2400       RUS RBU Time Signal          -TS EEu         t
0.07,0000-2100       CHN BPC Time Signal          -TS FE          sq
0.08,0000-2400       D   DCF77 Mainflingen        -TS Eu          mf
0.1,0000-2400       CHN BPL Time Signal          -TS FE          p
0.13,0000-2400       D   EFR Teleswitch               CEu         mf
0.14,0000-2400       HNG EFR Teleswitch               CEu         lh
0.14,0000-2400       D   EFR Teleswitch               CEu         bu
0.15,0000-2400       D   DWD 2 Pinneberg RTTY     E   Eu          pi
0.16,1000-0600       F   ALS162 Time Signals      -TS F           a
0.16,0600-1000 We-Mo F   ALS162 Time Signals      -TS F           a
0.53,"0450-1330       ALG R.Algiers Int.           A,F NAf         fk"
0.53,1330-1400       ALG R.Algiers Int.           E   NAf         fk
0.53,1400-1430       ALG R.Algiers Int.           S   NAf         fk
0.53,1430-1600       ALG R.Algiers Int.           A   NAf         fk
0.53,1600-1630       ALG R.Algiers Int.           F   NAf         fk
0.53,1630-1700       ALG R.Algiers Int.           A   NAf         fk
0.53,1700-1730       ALG R.Algiers Int.           F   NAf         fk
0.53,1730-1900       ALG R.Algiers Int.           A   NAf         fk
0.53,1900-1930       ALG R.Algiers Int.           E   NAf         fk
0.53,1930-2000       ALG R.Algiers Int.           S   NAf         fk
0.53,2000-2200       ALG R.Algiers Int.           A   NAf         fk
