Frequency (MHz),Station
0.02,IND VTX1 Indian Navy
0.02,NOR JXN Noviken Sub comms
0.02,IND VTX2 Indian Navy
0.02,RUS RDL Russian Navy
0.02,IND VTX3 Indian Navy
0.02,IND VTX4 Indian Navy
0.02,BLR RJH69 Molodechno
0.02,KGZ RJH66 Bishkek
0.02,KGZ RJH66 Bishkek
0.02,RUS RJH63 Krasnodar
0.02,RUS RJH77 Arkhangelsk
0.02,RUS RJH99 Nizhni Novgorod
0.02,BLR RJH69 Molodechno
0.02,KGZ RJH66 Bishkek
0.02,KGZ RJH66 Bishkek
0.02,RUS RJH63 Krasnodar
0.02,RUS RJH77 Arkhangelsk
0.02,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,BLR RJH69 Molodechno
0.03,KGZ RJH66 Bishkek
0.03,KGZ RJH66 Bishkek
0.03,RUS RJH63 Krasnodar
0.03,RUS RJH77 Arkhangelsk
0.03,RUS RJH99 Nizhni Novgorod
0.03,RUS RDL Russian Navy
0.04,ISL TFK US Navy Grindavik
0.06,USA WWVB Colorado
0.07,RUS RBU Time Signal
0.07,CHN BPC Time Signal
0.1,CHN BPL Time Signal
0.14,HNG EFR Teleswitch
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.55,CHN CNR5 Cross-Strait Radio
0.58,IRN IRIB Voice of I.R.Iran
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.59,IND AIR Akashvani Ext.Sce
0.61,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.64,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.7,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.72,IRN IRIB Voice of I.R.Iran
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,CHN CNR5 Cross-Strait Radio
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.77,IRN IRIB Voice of I.R.Iran
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.84,CHN CNR5 Cross-Strait Radio
0.97,KOR KBS Hanminjok
0.97,KOR KBS Hanminjok
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.07,IND AIR Akashvani Ext.Sce
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.1,IRN IRIB Voice of I.R.Iran
1.12,CHN CNR5 Cross-Strait Radio
1.12,CHN CNR5 Cross-Strait Radio
1.16,IRN IRIB Voice of I.R.Iran
1.16,IRN IRIB Voice of I.R.Iran
1.17,KOR KBS Hanminjok
1.17,KOR KBS Hanminjok
1.17,KOR KBS Hanminjok
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.17,KOR KBS World Radio
1.19,PHL FEBC Manila
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,CHN CNR 7 Greater Bay Area
1.22,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.32,IRN IRIB Voice of I.R.Iran
1.4,IRN IRIB Voice of I.R.Iran
1.45,IRN IRIB Voice of I.R.Iran
1.56,CHN CNR1 DIGITAL
1.56,KOR KBS World Radio
1.57,HKG FEBC Radio Liangyou
1.57,HKG FEBC Radio Liangyou
1.57,PHL FEBC Manila
1.57,PHL FEBC Manila
1.57,PHL FEBC Manila
1.62,FRO OXJ Trshavn Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,GRL OYR Aasiaat Radio
1.64,FRO OXJ Trshavn Radio
1.64,FRO OXJ Trshavn Radio
1.64,FRO OXJ Trshavn Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
1.67,GRL OYR Aasiaat Radio
